LATITUDE MIN,LATITUDE MAX,LONGITUDE MIN,LONGITUDE MAX,AGE ESTIMATE (Ma),AGE ESTIMATE UNCERTAINTY (Ma),NUMERICAL (0) OR LABEL (1) FLAG
-72.73407,-72.73407,165.44599,165.44599,1.29,1.29,1.0
-72.686549,-72.686549,165.608717,165.608717,1.29,1.29,1.0
-72.727103,-72.727103,165.539127,165.539127,1.29,1.29,1.0
-74.41,-74.41,164.51,164.51,33.0,33.0,1.0
-74.41,-74.41,164.51,164.51,33.0,33.0,1.0
-74.41,-74.41,164.51,164.51,33.0,33.0,1.0
-74.41,-74.41,164.51,164.51,33.0,33.0,1.0
-74.41,-74.41,164.51,164.51,33.0,33.0,1.0
-74.41,-74.41,164.51,164.51,33.0,33.0,1.0
-74.41,-74.41,164.51,164.51,33.0,33.0,1.0
-74.41,-74.41,164.51,164.51,33.0,33.0,1.0
-74.41,-74.41,164.51,164.51,33.0,33.0,1.0
-74.41,-74.41,164.51,164.51,33.0,33.0,1.0
-73.41,-73.41,164.68,164.68,33.0,33.0,1.0
-73.41,-73.41,164.68,164.68,33.0,33.0,1.0
-72.51,-72.51,164.68,164.68,33.0,33.0,1.0
-72.51,-72.51,164.68,164.68,33.0,33.0,1.0
-72.51,-72.51,164.68,164.68,33.0,33.0,1.0
-72.51,-72.51,164.68,164.68,33.0,33.0,1.0
-72.51,-72.51,164.68,164.68,33.0,33.0,1.0
-77.1,-77.1,-126.1,-126.1,33.0,33.0,1.0
-77.1,-77.1,-126.1,-126.1,33.0,33.0,1.0
-77.1,-77.1,-126.1,-126.1,33.0,33.0,1.0
-77.1,-77.1,-126.1,-126.1,33.0,33.0,1.0
-76.5,-76.5,-126.0,-126.0,33.0,33.0,1.0
-76.5,-76.5,-126.0,-126.0,33.0,33.0,1.0
-76.5,-76.5,-126.0,-126.0,33.0,33.0,1.0
-76.5,-76.5,-126.0,-126.0,33.0,33.0,1.0
-77.1,-77.1,-126.1,-126.1,33.0,33.0,1.0
-77.1,-77.1,-126.1,-126.1,33.0,33.0,1.0
-77.1,-77.1,-126.1,-126.1,33.0,33.0,1.0
-77.1,-77.1,-126.1,-126.1,33.0,33.0,1.0
-77.1,-77.1,-126.1,-126.1,33.0,33.0,1.0
-77.1,-77.1,-126.1,-126.1,33.0,33.0,1.0
-77.1,-77.1,-126.1,-126.1,33.0,33.0,1.0
