Author,Sample,Larger_Region,Region,Province,TAS_Description,Alkalinity,Age,Uncertainty,Method,Latitude,Longitude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb
Panter_2000,TW92-125,Australiasia_Antarctica,Antarctica,Marie_Byrd,Trachybasalt,Alkaline,2.54,0.09,Ar-Ar,-77.15,-117.15,47.55,2.35,16.06,11.42,9.44,7.39,0.19,1.3,3.82,0.46,,0.1,,,,188,260,,111,64,86,18,32,556,32,191,49,,,337,,,,,,,,,,,,,,,,,,,,,,,,,
Panter_2000,TW92-128,Australiasia_Antarctica,Antarctica,Marie_Byrd,Trachybasalt,Alkaline,2.52,0.06,Ar-Ar,-76.85,-117.75,47.09,2.32,16.35,11.57,9.31,7.32,0.19,1.24,4.11,0.51,,0.01,,,,174,245,,104,61,80,17,30,586,31,191,46,,,340,,,,,,,,,,,,,,,,,,,,,,,,,
Panter_2000,TW92-130,Australiasia_Antarctica,Antarctica,Marie_Byrd,Basalt,Alkaline,3.88,0.03,Ar-Ar,-76.85,-117.75,47.19,2.35,16.07,11.59,9.33,7.83,0.19,1.13,3.86,0.46,,0.48,,24.2,,191,328,,116,50,86,19,25,611,28,185,47,,0.31,307,32.6,64.9,,30.4,6.19,2.05,,0.94,,,,,2.29,0.3,4.54,2.95,,2.5,3.31,0.96,0.702826,0.512907,20.048,15.679,39.496
Panter_2000,TW92-135,Australiasia_Antarctica,Antarctica,Marie_Byrd,Trachybasalt,Alkaline,2.54,0.29,Ar-Ar,-76.85,-117.75,48.07,1.92,17.1,11.06,8.79,5.97,0.22,1.49,4.91,0.48,,0.05,,19.4,,154,203,,79,59,88,18,37,589,31,219,76,,0.35,469,51.9,97.7,,40,7.12,2.19,,0.92,,,,,2.87,0.38,4.92,4.32,,2.79,5.75,1.78,0.702735,0.51286,20.934,15.769,40.175
Panter_2000,TW92-142,Australiasia_Antarctica,Antarctica,Marie_Byrd,Basalt,Alkaline,1.82,0.05,Ar-Ar,-76.85,-117.75,46.74,1.8,14.65,10.64,10.77,10.54,0.2,1.05,3.3,0.31,,0.29,,31.4,,226,663,,243,84,88,16,26,404,28,175,47,,0.27,267,32.17,63.7,,29.6,5.98,1.82,,0.87,,,,,2.44,0.33,4.4,2.93,,2.08,3.73,1.02,0.702755,0.512883,20.541,15.756,39.919
Panter_2000,TW92-145,Australiasia_Antarctica,Antarctica,Marie_Byrd,Basalt,Alkaline,1.81,0.01,Ar-Ar,-76.85,-117.75,47.67,1.78,14.9,10.51,9.98,9.8,0.2,1.21,3.65,0.31,,0.46,,29.2,,204,608,,231,81,95,18,31,396,32,213,61,,0.37,318,38.8,76.3,,34.2,6.68,2.04,,0.95,,,,,2.97,0.43,5.23,3.71,,3,4.83,1.22,,,,,
Panter_2000,TW92-151,Australiasia_Antarctica,Antarctica,Marie_Byrd,Basanite,Alkaline,0.03,0.01,Ar-Ar,-76.8,-117.95,46.84,2.57,16.08,11.2,8.87,7.46,0.19,1.67,4.52,0.61,,0.51,,22.6,,177,303,,112,52,86,19,38,682,34,295,70,,0.53,360,46.1,89.4,,40.5,7.99,2.42,,1,,,,,3.1,0.45,6.34,4.37,,2.85,5.71,1.42,0.702757,0.512913,19.949,15.682,39.363
Panter_2000,TW92-157,Australiasia_Antarctica,Antarctica,Marie_Byrd,Basanite,Alkaline,0.85,0.04,Ar-Ar,-76.8,-117.95,46.95,2.45,16.63,12.01,8.31,6.21,0.21,1.55,4.92,0.75,,0.64,,,,156,146,,67,58,79,18,37,868,32,264,63,,,438,,,,,,,,,,,,,,,,,,,,,,,,,
Panter_2000,TW92-159,Australiasia_Antarctica,Antarctica,Marie_Byrd,Basanite,Alkaline,1.6,0.02,Ar-Ar,-76.8,-117.95,48.93,2.17,16.77,10.98,7.33,5.57,0.19,1.88,5.41,0.76,,0.44,,,,101,173,,66,46,83,17,42,779,32,298,67,,,411,,,,,,,,,,,,,,,,,,,,,,,,,
Panter_2000,TW92-162,Australiasia_Antarctica,Antarctica,Marie_Byrd,Basalt,Alkaline,6.7,0.05,Ar-Ar,-76.71,-117.6,45.74,2.01,14.86,12.11,9.03,10.96,0.2,0.99,3.72,0.38,,0.49,,23.2,,175,488,,294,70,88,17,23,544,26,158,50,,0.22,332,33.3,62.9,,29,5.8,1.87,,0.82,,,,,2.35,0.32,4.11,2.88,,1.25,3.42,0.93,0.702672,0.512857,20.397,15.719,39.793
