Lon Lat HF(mW/m2) Age(Ma) Seds(m)
-126.5 48.2043 126.058 6.07696676254 1746.9
-126.7692 48.074 167.333 5.47693042683 1828.44
-126.7042 48.1077 172.749 5.65891808105 1899.17
-126.6392 48.1415 160.055 5.77920388834 1912.84
-127.7368 47.95775 202.03 3.04814192019 677.103
-127.8817 47.8602 209.04 2.80367557825 570.603
-127.8227 47.8527 276.658 2.94180990203 615.574
-127.7068 47.868 273.451 3.19274833633 701.272
-127.635 47.8935 264.867 3.3368894065 750.456
-127.4915 47.8907 298.793 3.65823072176 834.703
-127.2 47.9 195.951 4.32140111923 997.28
-128.1242 47.7838 332.594 2.33807496278 402.823
-127.8508 47.7883 262.588 2.93388996215 595.022
-127.77 47.7691 273.373 3.1202327487 655.88
-127.7255 47.776 234.503 3.2136917768 688.64
-127.6235 47.8039 199.819 3.41984865021 759.673
-127.50935 47.8211 169.408 3.66061876795 827.116
-127.3775 47.7827 170.528 3.98370485256 892.576
-127.3025 47.7652 174.777 4.16402102075 931.108
-127.2311 47.7529 178.68 4.32922444975 974.903
-127.7858 47.7108 374.541 3.12117143864 642.726
-127.7125 47.7276 207.114 3.27507893348 697.556
-127.64 47.717 165.073 3.4384480176 749.047
-126.291 47.4584 136.377 6.58969134689 1288.14
-126.208 47.45705 139.643 6.77932358747 1099.46
-127.267 47.45 70.7966 4.1673254323 993.429
-126.381 47.4437 137.671 6.39691051023 1435.77
-126.166 47.2503 164.123 6.80842430539 1106.26
-126.12 47.2816 120.955 6.97184712219 977.323
-126.146 47.2332 30.731 6.8470566843 1070.43
-125.965 46.9768 101.331 7.20500588608 855.519
-19.45 46.917 76.1163 49.5065126991 492.219
-127.7833 46.6167 142.447 3.46000198964 580.299
-127.2515 46.4808 190.145 4.63415444927 941.878
-127.2028 46.4617 189.678 4.74652182244 973.148
-127.13145 46.4516 215.56 4.90627507657 1020.37
-127.0977 46.4417 210.68 4.98352218073 1041.72
-128 46.3 56.1908 3.04808235168 417.8
-126.6167 46.3167 168.555 6.00740687798 1324.26
-125.95 46.1667 164.076 7.43179940486 1950.76
-35.4833 46.1667 67.0423 51.0716274079 547.998
-125.6 46.0833 89.4487 8.04927223015 865.656
-138.233 45.933 65.0381 25.6642448254 400.36
-34.455 45.8217 65.9462 46.9719902109 509.455
-34.1 45.5 61.8728 43.6763153076 504.2
-37.3 45.3 67.4024 55.9376983643 673.6
-125.584 44.9518 218.905 8.00884748699 1934.33
-125.518 44.9527 180.251 8.11533018476 1794.44
-125.4 44.9503 133.265 8.32384606075 1350.69
-125.635 44.9495 150.638 7.91973315167 1955.21
-125.3665 44.9451 114.826 8.32327234173 1190.72
-127.9683 44.8083 152.928 3.36449402591 400.567
-125.595 44.8275 185.175 8.00672719002 1913.71
-125.7058 44.65415 121.653 7.19731424668 1779.16
-125.57915 44.6625 133.919 7.53769469804 1841.41
-125.468 44.651 119.314 7.7463262867 1612.23
-125.354 44.6625 49.6881 8.08880829811 1169.52
-125.2795 44.66115 90.1448 8.22232921863 841.421
-127.3033 44.5833 164.141 4.44657094957 400.72
-125.5833 44.6467 136.139 7.4544676785 1842.72
-125.383 44.6496 80.2284 7.95616421547 1291.71
-125.295 44.6497 73.9244 8.16543841791 903.296
-126.665 44.5083 82.2012 5.4056021843 678.862
138.8833 44.3 97.2709 30.3054790497 906.889
138.85 44.2167 101.698 25.7139923337 1118.17
138.96835 43.98835 123.819 21.8552775365 1054.09
138.8333 43.7317 131.483 20.4124680578 744.629
137.85 43.4667 122.996 23.740598012 1231.07
-24.5 43.4 45.5956 28.5542449951 472
139.48585 43.1975 109.942 18.00304948 938.936
-27.0867 43.07915 74.4222 12.9585426758 482.239
-26.65 43.0667 40.8473 15.1367377539 445.996
-23.215 43.0817 90.6599 37.4033147387 624.819
138.9667 43.0667 107.475 17.1674243843 839.605
139.1117 43.0667 120.086 17.2753965931 899
139.8333 43.0833 93.6744 20.4633264923 953.999
137.15 43 128.309 24.0761699677 1850.2
137.7 43.0333 126.14 22.2141812897 1479.99
138.0833 42.9833 119.719 19.2704282455 1113.72
138.5667 43.0167 107.709 17.1319755823 758.814
138.9983 43 125.274 17.2209285622 964.368
139.3667 43.0333 119.955 18.5203756427 919.556
-27.8 42.95 29.2976 9.00482273102 469.88
136.5433 42.7867 18.4091 24.8260542858 979.099
137.2017 42.7833 99.375 22.682715659 1957.67
139.41085 42.84915 168.823 19.9948724548 872.404
