167.71 -64.096 3.290 17.664 0.201 1
-27.51 -65.2 6.292 67.367 0.243 1
-27.195 -65.355 6.130 70.018 0.236 1
22.4 -65.388 6.327 129.856 0.251 1
22.865 -64.888 6.223 127.996 0.242 1
28.383 -64.777 6.902 130.233 0.272 1
37.265 -64.635 6.317 120.338 0.247 1
38 -64.567 6.302 120.138 0.246 1
38.61 -64.51 6.571 120.083 0.261 1
40.2 -64.503 5.855 120.436 0.238 1
172.055 -65.433 3.812 24.738 0.21 1
172.555 -65.358 3.990 25.172 0.212 1
-119.99 -66.149 5.315 69.567 0.214 1
-104.532 -66.244 5.620 74.879 0.25 1
-84.612 -66.147 5.234 54.010 0.238 1
-75.545 -66.465 4.529 32.893 0.221 1
-26.7 -65.598 6.043 74.219 0.233 1
-26 -65.942 5.580 79.956 0.217 1
-25.18 -66.345 5.518 85.555 0.216 1
21.43 -66.431 6.270 138.384 0.264 1
21.895 -65.931 6.318 133.568 0.259 1
171.455 -65.523 3.781 24.125 0.217 1
171.55 -65.509 3.740 24.235 0.209 1
-132.515 -67.339 5.072 57.413 0.213 1
-132.375 -67.424 4.963 57.933 0.211 1
-126.992 -67.25 4.721 66.748 0.208 1
-126.246 -67.131 4.621 67.260 0.205 1
-119.98 -66.512 5.239 70.551 0.212 1
-109.925 -67.023 5.326 76.282 0.229 1
-104.538 -67.002 5.761 75.826 0.255 1
-84.517 -66.576 5.327 51.992 0.247 1
-84.486 -66.72 5.284 51.304 0.246 1
-80.515 -66.621 5.148 43.614 0.237 1
-80.455 -66.636 5.085 43.461 0.235 1
-75.76 -66.628 4.677 32.516 0.224 1
-24.685 -66.588 5.599 88.642 0.219 1
-24 -66.925 5.886 92.844 0.229 1
-23.16 -67.337 5.843 98.043 0.227 1
21.345 -66.522 6.202 139.297 0.261 1
23.095 -66.767 6.793 139.332 0.286 1
28 -66.61 6.545 143.001 0.284 1
29 -66.591 6.396 142.316 0.286 1
29.63 -66.579 6.443 156.163 0.287 1
-131.87 -67.73 4.853 59.761 0.21 1
-131.045 -68.23 4.651 62.224 0.208 1
-130.08 -67.999 4.499 64.087 0.206 1
-126.797 -67.743 4.554 69.225 0.207 1
-125.914 -67.936 4.560 71.028 0.21 1
-125.079 -67.801 4.458 71.118 0.207 1
-124.06 -67.731 4.451 71.623 0.208 1
-109.975 -67.713 5.122 77.998 0.231 1
-104.545 -68.003 5.712 78.154 0.256 1
-28.935 -68.129 5.953 104.236 0.241 1
-28 -68.126 5.906 104.994 0.237 1
-27 -68.123 5.835 105.932 0.233 1
-26.315 -68.121 6.128 106.687 0.245 1
-22.665 -67.581 6.040 101.810 0.234 1
-22 -67.907 6.019 108.257 0.234 1
-21.145 -68.327 6.120 115.994 0.239 1
-1.635 -67.774 5.466 144.221 0.228 1
-1.445 -67.662 5.462 142.915 0.226 1
25.465 -67.508 6.702 149.567 0.317 1
25.555 -67.537 6.684 150.040 0.319 1
-130.55 -68.529 4.685 64.077 0.211 1
-129.785 -68.599 4.526 65.792 0.21 1
-129.415 -68.807 4.515 66.254 0.212 1
-124.87 -68.659 4.568 75.375 0.213 1
-104.552 -69.005 5.675 80.965 0.268 1
-98.85 -69.065 5.800 83.910 0.244 1
-98.07 -68.921 5.796 84.185 0.24 1
-89.655 -69.39 5.054 81.219 0.241 1
-89 -69.313 5.071 72.798 0.25 1
-88 -69.196 4.886 52.746 0.254 1
-87.43 -69.13 4.723 48.723 0.249 1
-31.545 -69.492 6.312 127.394 0.266 1
-31 -69.41 6.325 126.977 0.266 1
-30 -69.26 6.315 126.325 0.264 1
-29 -69.11 6.202 125.068 0.255 1
-28.35 -69.013 5.871 122.888 0.241 1
-20.65 -68.571 5.934 119.806 0.233 1
-20 -68.89 6.038 125.913 0.239 1
-19.089 -69.332 6.062 128.955 0.244 1
176.04 -69.28 4.283 39.431 0.217 1
-104.558 -69.722 5.675 83.797 0.281 1
-103.51 -69.986 5.658 84.701 0.259 1
-102.995 -69.609 5.636 83.429 0.253 1
-102 -69.5 5.527 83.527 0.251 1
-101 -69.5 5.580 83.945 0.251 1
-100 -69.5 5.478 84.294 0.243 1
-99 -69.5 5.723 84.651 0.251 1
-98 -69.5 5.647 85.081 0.243 1
-97 -69.5 5.544 85.523 0.236 1
-96.485 -69.5 5.573 85.697 0.236 1
-33.905 -69.846 6.273 129.503 0.273 1
-33 -69.71 6.301 128.624 0.271 1
-32.05 -69.568 6.292 127.792 0.269 1
-18.58 -69.518 6.154 130.365 0.248 1
-18 -69.646 5.983 131.387 0.241 1
-17 -69.867 5.827 132.932 0.235 1
-16.45 -69.989 6.037 134.169 0.243 1
-103.535 -70.013 5.724 84.755 0.264 1
-16.36 -70.009 6.091 134.408 0.246 1
-158.745 -72.388 5.085 65.367 0.221 1
-155.445 -72.408 5.431 66.117 0.236 1
87.65 -37.933 4.096 18.698 0.236 2
-96.083 -42.733 4.349 17.887 0.254 2
-104.433 -43.767 3.611 11.533 0.259 2
-110.617 -44.583 3.314 2.519 0.226 2
-45.135 -55.365 4.547 14.294 0.216 2
-44.825 -56.006 4.173 18.643 0.211 2
-44.565 -56.544 4.191 21.478 0.217 2
11.485 -62.489 4.959 110.173 0.204 2
11.855 -61.991 4.899 102.157 0.204 2
11.105 -63.001 5.225 117.548 0.203 2
10.455 -63.876 5.505 122.642 0.207 2
10.62 -63.654 5.400 121.852 0.206 2
